algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Falcon-1024,SIG,keygen,L5,Falcon,125,41851158,41849195,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,126,43980270,43978937,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,127,48516348,48515366,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,128,44025123,44024622,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,129,53375499,53373721,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,130,61214301,61213208,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,131,43325140,43324382,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,132,44618456,44617901,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,133,50697497,50696997,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,134,49592237,49591404,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,135,53209313,53207517,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,136,48613644,48613125,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,137,77593348,77592534,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,138,43975585,43974845,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,139,43474770,43473863,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,140,46201568,46200957,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,141,82374889,82374482,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,142,44630104,44629400,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,143,43372808,43372474,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,144,41638325,41638010,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,145,51414628,51413293,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,146,41898583,41897251,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,147,63038598,63036746,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,148,74071476,74070661,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,149,47327680,47327365,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,150,56195186,56193797,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,151,43911085,43910437,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,152,44001270,44000734,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,153,77983830,77983683,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,154,42229454,42228325,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,155,46743865,46743105,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,156,55290519,55290315,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,157,49081496,49081422,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,158,43303289,43302937,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,159,86953929,86953744,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,160,51357998,51357739,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,161,45596235,45595901,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,162,49212718,49212182,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,163,45070438,45070031,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,164,54067925,54066129,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,165,41741732,41741214,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,166,47999959,47999440,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,167,42808307,42807881,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,168,47396125,47395569,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,169,63390283,63389746,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,170,43388530,43388103,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,171,43300418,43300177,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,172,44508549,44508141,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,173,44468864,44468475,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,174,41660972,41659935,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,175,53566351,53565999,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,176,43405011,43404677,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,177,99530234,99529827,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,178,50265053,50264719,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,179,43263529,43263011,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,180,70411659,70411251,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,181,41596861,41596473,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,182,45049531,45049049,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,183,43396696,43396215,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,184,43435214,43433659,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,185,46819606,46818810,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,186,47304940,47304513,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,187,47279383,47279236,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,188,52009869,52009776,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,189,90876172,90872765,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,190,42208325,42206955,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,191,53835277,53833869,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,192,57258983,57257743,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,193,57089149,57087779,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,194,59614280,59614244,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,195,43987086,43986918,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,196,58944910,58944595,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,197,50734923,50734071,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,198,42727362,42726602,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,199,102350495,102350050,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,sign,L5,Falcon,0,1530001,1529797,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,1,1318557,1318334,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,2,1300705,1300464,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,3,1304983,1304686,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,4,1304982,1304798,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,5,1302816,1302630,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,6,1319223,1319057,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,7,1300557,1300353,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,8,1301186,1301056,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,9,1389631,1389278,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,10,1286131,1285871,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,11,1287519,1287446,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,12,1299445,1299242,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,13,1289445,1289315,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,14,1294131,1294112,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,15,1294742,1294649,,,,,1267,,Falcon_1024_sign.json
Falcon-1024,SIG,sign,L5,Falcon,16,1297594,1297575,,,,,1267,,Falcon_1024_sign.json
